filePath,volumeOfVoxel,spacing,imgAffineMetrix,fileName,data_dtype,niftiImgShape,XYZTunits,hdrRaw,3dArrayMean,3dArrayStd,3dArrayMin,3dArrayMax,isUniqueValues,exceptionValueCountInBinary,(quadrant_count)voxelVolumeEstimation,(quadrant_count)topBackLeft,(quadrant_count)topBackRight,(quadrant_count)topFrontLeft,(quadrant_count)topFrontRight,(quadrant_count)bottomBackLeft,(quadrant_count)bottomBackRight,(quadrant_count)bottmoFrontLeft,(quadrant_count)bottomFrontRight
../data/mask_nifti\sample1\sample1_mask.nii.gz,8.0mm3,2.0mm x 2.0mm x 2.0mm,"[[ -2.   0.   0. 115.]
 [ -0.   2.  -1. -89.]
 [  0.   1.   2. -89.]
 [  0.   0.   0.   1.]]",sample1_mask,uint16,"(112, 112, 72)","('mm', 'unknown')","(348, b'', b'', 0, 0, b'r', 0, [  3, 112, 112,  72,   1,   1,   1,   1], 0., 0., 0., 0, 512, 16, 0, [-1.,  2.,  2.,  2.,  0.,  0.,  0.,  0.], 0., nan, nan, 0, 0, 2, 0., 0., 0., 0., 0, 0, b'', b'', 2, 1, 0.00373543, -0.99098927, -0.12958448, 115.099495, -89.39764, -89.31027, [-1.99540746e+00,  2.64930446e-03,  1.35432795e-01,  1.15099495e+02], [-3.2263450e-02,  1.9327756e+00, -5.1316410e-01, -8.9397636e+01], [  0.13156036,   0.5141705 ,   1.9282947 , -89.31027   ], b'', b'n+1')",0.00013065121882086168,0.011429529696355955,0.0,0.0,[0. 1.],0,944.0,0,28,1,89,0,0,0,0
../data/mask_nifti\sample1\sample2\sample2_mask.nii.gz,8.0mm3,2.0mm x 2.0mm x 2.0mm,"[[ -2.  -0.  -0. 115.]
 [ -0.   2.  -0. -72.]
 [ -0.   0.   2. -56.]
 [  0.   0.   0.   1.]]",sample2_mask,uint16,"(112, 112, 73)","('mm', 'unknown')","(348, b'', b'', 0, 0, b'r', 0, [  3, 112, 112,  73,   1,   1,   1,   1], 0., 0., 0., 0, 512, 16, 0, [-1.,  2.,  2.,  2.,  0.,  0.,  0.,  0.], 0., nan, nan, 0, 0, 2, 0., 0., 0., 0., 0, 0, b'', b'', 2, 1, -0.00988467, 0.99462825, 0.10036058, 114.638, -71.867325, -56.290527, [-1.9974304e+00, -4.8695415e-02, -8.8884935e-02,  1.1463800e+02], [-2.9957186e-02,  1.9593203e+00, -4.0020865e-01, -7.1867325e+01], [ -0.09682119,   0.39836308,   1.9575323 , -56.290527  ], b'', b'n+1')",9.828417668437238e-05,0.009913350437918843,0.0,0.0,[0. 1.],0,720.0,0,0,0,0,0,0,0,0
